title_page_key,classification_key,is_reprint_nonrepresentative,cluster_key,subject,final_value,classification_source,source_revision,source_id
Amsterdam_1616,Amsterdam_1616,False,,Practical Geometry,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_1p9b4d
Amsterdam_1616,Amsterdam_1616,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_1p9b4d
Amsterdam_1618,Amsterdam_1618,False,,Practical Geometry,secondary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_5u9s5i
Amsterdam_1626,Amsterdam_1626,False,,Practical Geometry,secondary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_hx9mem
Amsterdam_1634,Amsterdam_1634,False,,Practical Geometry,secondary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_cwmaxr
Amsterdam_1634,Amsterdam_1634,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_cwmaxr
Amsterdam_1660,Amsterdam_1660,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_5je7yd
Amsterdam_1662,Amsterdam_1662,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_ec1hpb
Amsterdam_1683,Amsterdam_1683,False,,Mechanics,unknown,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_oysr6c
Amsterdam_1683,Amsterdam_1683,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_oysr6c
Amsterdam_1695,Amsterdam_1695,False,,Navigation,unknown,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_yj7ne9
Amsterdam_1695,Amsterdam_1695,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_yj7ne9
Amsterdam_1697,Amsterdam_1697,False,,Arithmetic,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_q2fcpq
Amsterdam_1697,Amsterdam_1697,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_q2fcpq
Amsterdam_1697,Amsterdam_1697,False,,Trigonometry,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_q2fcpq
Amsterdam_1700,Amsterdam_1700,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_9rif1k
Amsterdam_1700b,Amsterdam_1700b,False,,Practical Geometry,secondary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_ynr5hg
Amsterdam_1700b,Amsterdam_1700b,False,,Theoretical Mathematics,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_ynr5hg
Ansbach_1610,Ansbach_1610,False,,Arithmetic,unknown,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_iz4lbn
Ansbach_1610,Ansbach_1610,False,,Construction,secondary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_iz4lbn
Ansbach_1610,Ansbach_1610,False,,Military Engineering,unknown,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_iz4lbn
Ansbach_1610,Ansbach_1610,False,,Practical Geometry,primary,new_full_run,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,exec_iz4lbn
