edition_id,feature_id,source_id,source_revision,source_name,value
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Arithmetic::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Commercial Mathematics::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Military Engineering::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Construction::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Practical Geometry::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Surveying::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Perspective::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Cartography::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Architecture::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Gnomonics & Horology::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Astronomy::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Cosmography::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Geography::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Instrument Construction::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Instrument Use::unrelated
Alcala_1637,m_classifier,exec_g3a7tb,6a0d47e3-f472-4b63-a6f5-67c693a0adf9,llm,Mechanics::unrelated
