feature,pc1_loading,pc2_loading,pc1_abs,pc2_abs
has_any_deductive_part,0.30793450995958,0.049451439095128766,0.30793450995958,0.049451439095128766
claim_method_demonstration_order,0.2601016210722523,0.1862511413567112,0.2601016210722523,0.1862511413567112
ival_demonstration_method_order,0.26001335925244,-0.19886614806299263,0.26001335925244,0.19886614806299263
claim_visual_material_aids,0.25459579791327686,-0.20407966978376352,0.25459579791327686,0.20407966978376352
claim_augmentation_enrichment_composition,0.2537769690203626,-0.1192775442496621,0.2537769690203626,0.1192775442496621
claim_accessibility_clarity_pedagogy,0.23324578957595427,-0.018477579849700235,0.23324578957595427,0.018477579849700235
ival_visual_materiality_diagrams,0.21657818955626146,-0.22164418418874876,0.21657818955626146,0.22164418418874876
claim_canonical_textual_identity,0.2092811482961246,0.3356132308444148,0.2092811482961246,0.3356132308444148
claim_ancient_authority_restoration,0.20842954829809351,0.39247272576641157,0.20842954829809351,0.39247272576641157
part_figures_diagrams,0.19442027789247587,-0.21001839762750438,0.19442027789247587,0.21001839762750438
ival_ease_clarity_accessibility,0.1941210521941174,-0.056101212751465825,0.1941210521941174,0.056101212751465825
ival_augmentation_enrichment_completeness,0.1933034998839421,-0.1340834535142437,0.1933034998839421,0.1340834535142437
ival_utility_application_practice,0.16884343885095435,-0.20593188225622694,0.16884343885095435,0.20593188225622694
part_demonstrations_proofs,0.16261833726239908,0.18680398987534622,0.16261833726239908,0.18680398987534622
claim_selection_extraction_abridgment,0.16200555540081185,0.014830977496829064,0.16200555540081185,0.014830977496829064
ival_ancient_restoration_humanist,0.15975811772059273,0.22255458946369835,0.15975811772059273,0.22255458946369835
ival_novelty_invention_modernity,0.15212713892453356,-0.014009436427113624,0.15212713892453356,0.014009436427113624
ival_correction_revision_accuracy,0.14119625864746838,-0.1500158894921858,0.14119625864746838,0.1500158894921858
claim_utility_practice_application,0.1375487744330626,-0.19205666359062645,0.1375487744330626,0.19205666359062645
part_principles,0.1345535752038167,0.015002641448752577,0.1345535752038167,0.015002641448752577
part_propositions,0.12338829765057881,0.11045662819808634,0.12338829765057881,0.11045662819808634
ival_translation_vernacularization,0.12192081763839231,0.10746220687294783,0.12192081763839231,0.10746220687294783
subject_primary_Visual/Spatial Arts,-0.11568160438656923,-0.12710715765273614,0.11568160438656923,0.12710715765273614
ival_abridgment_contraction_selection,0.11079616060648634,-0.029199709340133814,0.11079616060648634,0.029199709340133814
claim_completeness_totality_system,0.09901757383220747,0.06539227880034697,0.09901757383220747,0.06539227880034697
part_scholia_commentary,0.09594492341535202,0.038051117307689286,0.09594492341535202,0.038051117307689286
claim_translation_vernacularization_transfer,0.09344140973214267,0.11638015371466087,0.09344140973214267,0.11638015371466087
role_mathematics_professor_lecturer,0.08730961028899081,-0.03225309985693086,0.08730961028899081,0.03225309985693086
inst_jesuit,0.08635614899067155,0.05947966399237749,0.08635614899067155,0.05947966399237749
subject_primary_Geometry/Theory,0.08242985709205336,0.14553628411182393,0.08242985709205336,0.14553628411182393
part_problems,0.0802543452051865,-0.08873384386488543,0.0802543452051865,0.08873384386488543
part_notes_observations,0.07736552924530661,-0.05529770776963151,0.07736552924530661,0.05529770776963151
part_operations_constructions,0.07655823451637156,-0.15757649990791847,0.07655823451637156,0.15757649990791847
part_paradoxes,0.06794008631229109,0.022123183469113506,0.06794008631229109,0.022123183469113506
part_theorems,0.06559690568523636,0.06010276533723338,0.06559690568523636,0.06010276533723338
part_examples,0.0626133050261343,-0.10083657843267099,0.0626133050261343,0.10083657843267099
part_definitions,0.054503789314396756,0.12406360799587753,0.054503789314396756,0.12406360799587753
part_corollaries,0.05252475211681004,0.09088258759007188,0.05252475211681004,0.09088258759007188
aud_students_learners,0.04965914359463778,-0.02238947160339676,0.04965914359463778,0.02238947160339676
part_axioms_common_notions,0.04473322425609676,0.05401631781179903,0.04473322425609676,0.05401631781179903
subject_primary_Music,-0.03792316165765652,0.004595990483711577,0.03792316165765652,0.004595990483711577
subject_primary_Instruments/Measurement,0.03470006345144303,-0.21271914671629505,0.03470006345144303,0.21271914671629505
subject_primary_Arithmetic/Commerce,-0.029641409362693667,-0.19595849460192102,0.029641409362693667,0.19595849460192102
subject_primary_Applied Mechanics/Military,-0.027395667683704196,-0.14914645532038334,0.027395667683704196,0.14914645532038334
aud_surveyors_geometers_engineers,0.02340232015271878,-0.10887159594791425,0.02340232015271878,0.10887159594791425
role_engineer_practitioner,0.021716571561806543,-0.029115971814790753,0.021716571561806543,0.029115971814790753
subject_primary_Cosmos/Earth,-0.013351642607219317,-0.07207090714812042,0.013351642607219317,0.07207090714812042
inst_engineering_military_schools,0.011028938320205971,0.01041714968209298,0.011028938320205971,0.01041714968209298
pat_royal_princely_patron,0.009240382875645273,-0.053241094910174834,0.009240382875645273,0.053241094910174834
inst_universities_academies_colleges,0.007292969106343508,0.053681248941143046,0.007292969106343508,0.053681248941143046
aud_general_readers_lovers,0.004889993750871056,-0.02723650019748843,0.004889993750871056,0.02723650019748843
aud_military_users,-0.004651983503165986,-0.01496080220669762,0.004651983503165986,0.01496080220669762
part_enunciations,0.0029887661072942307,0.07560466607431239,0.0029887661072942307,0.07560466607431239
