edition_id,feature_id,feature_name,source_id,source_revision,source_name,value,properties
Alcala_1637,date_in_imprint,Date in Imprint,exec_xtgpux,8c74a0d1-b4d5-4b90-8b44-0a6771c2a719,llm,1637,
Alcala_1637,location_in_imprint,Place in Imprint,exec_xtgpux,8c74a0d1-b4d5-4b90-8b44-0a6771c2a711,llm,ALCALA,
Alcala_1637,publisher_in_imprint,Publisher in Imprint,exec_xtgpux,8c74a0d1-b4d5-4b90-8b44-0a6771c2a712,llm,ANTONo DVPLASTe,
Alcala_1637,action_verbs,Verbs,exec_xtgpux,9e1d8f80-7c1a-4b7d-a001-000000000006,llm,Traducido,
Alcala_1637,action_verbs,Verbs,exec_xtgpux,9e1d8f80-7c1a-4b7d-a001-000000000006,llm,comentado,
Alcala_1637,audience,Intended Audience,exec_xtgpux,8c74a0d1-b4d5-4b90-8b44-0a6771c2a715,llm,,
Alcala_1637,base_content,Base Content,exec_xtgpux,9e1d8f80-7c1a-4b7d-a001-000000000001,llm,ELEMENTOS GEOMETRICOS DE EVCLIDES,
Alcala_1637,bound_with,Bound With - Description,exec_xtgpux,8c74a0d1-b4d5-4b90-8b44-0a6771c2a718,llm,,
Alcala_1637,bound_with_minimal,Bound With - Minimal,exec_xtgpux,b58a2f9b-dc7d-459f-8953-4c3cf08aa114,llm,,
Alcala_1637,content_description,Base Content Description,exec_xtgpux,9e1d8f80-7c1a-4b7d-a001-000000000007,llm,PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS,
Alcala_1637,dedicatee_name,Dedication,exec_xtgpux,8c74a0d1-b4d5-4b90-8b44-0a6771c2a717,llm,"AL EXmo Sr D. GASPAR DE GVZMAN CONDE DE OLIBARES DVCq DE S. LVCAR LA MAYOR CAMARERO Y CABALLERICO
MAYOR DE SV MAG",
Alcala_1637,description_of_euclid,Euclid Description,exec_xtgpux,8c74a0d1-b4d5-4b90-8b44-0a6771c2a721,llm,,
