key,url,note
bib-35,https://app.transkribus.org/sites/noscemus/doc/841471?colId=88639,"Transkribus: Benedetti, Giovanni Battista - Diversarum speculationum mathematicarum et physicarum liber. Turin 1585.pdf"
4D3V3G,https://app.transkribus.org/sites/noscemus/doc/928628?colId=88639,"Transkribus: Benedetti, Giovanni Battista - Resolutio omnium Euclidis problematum. Venice 1553.pdf"
MorisS-5-2,https://app.transkribus.org/sites/noscemus/doc/599725?colId=88639,"Transkribus: Boulliau, Ismael - Philolaus. Amsterdam 1639.pdf"
Rome_1574,https://app.transkribus.org/sites/noscemus/doc/911543?colId=88639,"Transkribus: Clavius, Christoph & Euclides - Euclidis elementorum libri XV. Rome 1574.pdf"
220OQK,https://app.transkribus.org/sites/noscemus/doc/731626?colId=88639,"Transkribus: Clavius, Christoph - In Sphaeram Ioannis de Sacrobosco commentarius. Rome 1570.pdf"
XANRSM,https://app.transkribus.org/sites/noscemus/doc/767742?colId=88639,"Transkribus: Della Porta, Giambattista - De refractione. Naples 1593.pdf"
MorisS-27-2,https://app.transkribus.org/sites/noscemus/doc/807330?colId=88639,"Transkribus: De Roberval, Gilles Personne - Aristarchi Samii de mundi systemate. Paris 1644.pdf"
G3HPWX,https://app.transkribus.org/sites/noscemus/doc/718637?colId=88639,"Transkribus: Dominis, Marco Antonio de - De radiis visus et lucis in vitris perspectivis et iride tractatus. Venice 1611.pdf"
Paris_1532,https://app.transkribus.org/sites/noscemus/doc/906081?colId=88639,"Transkribus: Finé, Oronce - Protomathesis. Paris 1532.pdf"
MorisS-13-5,https://app.transkribus.org/sites/noscemus/doc/732894?colId=88639,"Transkribus: Gassendi, Pierre - Institutio astronomica. Paris 1647.pdf"
MorisS-13-1,https://app.transkribus.org/sites/noscemus/doc/736347?colId=88639,"Transkribus: Gassendi, Pierre - Mercurius in sole visus. Paris 1632.pdf"
